agency_cd,site_no,Date,X_00060_00003,X_00060_00003_cd
USGS,02089500,1930-11-24,576,A
USGS,02089500,1930-11-25,604,A
USGS,02089500,1930-11-26,576,A
USGS,02089500,1930-11-27,548,A
USGS,02089500,1930-11-28,520,A
USGS,02089500,1930-11-29,520,A
USGS,02089500,1930-11-30,548,A
USGS,02089500,1930-12-01,604,A
USGS,02089500,1930-12-02,694,A
USGS,02089500,1930-12-03,664,A
USGS,02089500,1930-12-04,694,A
USGS,02089500,1930-12-05,758,A
USGS,02089500,1930-12-06,758,A
USGS,02089500,1930-12-07,758,A
USGS,02089500,1930-12-08,758,A
USGS,02089500,1930-12-09,790,A
USGS,02089500,1930-12-10,996,A
USGS,02089500,1930-12-11,1300,A
USGS,02089500,1930-12-12,1300,A
USGS,02089500,1930-12-13,1180,A
USGS,02089500,1930-12-14,1030,A
USGS,02089500,1930-12-15,996,A
USGS,02089500,1930-12-16,926,A
USGS,02089500,1930-12-17,892,A
USGS,02089500,1930-12-18,1070,A
USGS,02089500,1930-12-19,1140,A
USGS,02089500,1930-12-20,1140,A
USGS,02089500,1930-12-21,1180,A
USGS,02089500,1930-12-22,1260,A
USGS,02089500,1930-12-23,1560,A
USGS,02089500,1930-12-24,1650,A
USGS,02089500,1930-12-25,1650,A
USGS,02089500,1930-12-26,1600,A
USGS,02089500,1930-12-27,1740,A
USGS,02089500,1930-12-28,1890,A
USGS,02089500,1930-12-29,2290,A
USGS,02089500,1930-12-30,2820,A
USGS,02089500,1930-12-31,3400,A
USGS,02089500,1931-01-01,3640,A
USGS,02089500,1931-01-02,3520,A
USGS,02089500,1931-01-03,2820,A
USGS,02089500,1931-01-04,2190,A
USGS,02089500,1931-01-05,2140,A
USGS,02089500,1931-01-06,2090,A
USGS,02089500,1931-01-07,2040,A
USGS,02089500,1931-01-08,2040,A
USGS,02089500,1931-01-09,2090,A
USGS,02089500,1931-01-10,2190,A
USGS,02089500,1931-01-11,2240,A
USGS,02089500,1931-01-12,2240,A
USGS,02089500,1931-01-13,2040,A
USGS,02089500,1931-01-14,2090,A
USGS,02089500,1931-01-15,2880,A
USGS,02089500,1931-01-16,3460,A
USGS,02089500,1931-01-17,3700,A
USGS,02089500,1931-01-18,3580,A
USGS,02089500,1931-01-19,3160,A
USGS,02089500,1931-01-20,2660,A
USGS,02089500,1931-01-21,2490,A
USGS,02089500,1931-01-22,2200,A
USGS,02089500,1931-01-23,2200,A
USGS,02089500,1931-01-24,2200,A
USGS,02089500,1931-01-25,2200,A
USGS,02089500,1931-01-26,2200,A
USGS,02089500,1931-01-27,2200,A
USGS,02089500,1931-01-28,2200,A
USGS,02089500,1931-01-29,1600,A
USGS,02089500,1931-01-30,1600,A
USGS,02089500,1931-01-31,1600,A
USGS,02089500,1931-02-01,1400,A
USGS,02089500,1931-02-02,1400,A
USGS,02089500,1931-02-03,1400,A
USGS,02089500,1931-02-04,1400,A
USGS,02089500,1931-02-05,1200,A
USGS,02089500,1931-02-06,1200,A
USGS,02089500,1931-02-07,1200,A
USGS,02089500,1931-02-08,1200,A
USGS,02089500,1931-02-09,1200,A
USGS,02089500,1931-02-10,1200,A
USGS,02089500,1931-02-11,1300,A
USGS,02089500,1931-02-12,1300,A
USGS,02089500,1931-02-13,1300,A
USGS,02089500,1931-02-14,1300,A
USGS,02089500,1931-02-15,1300,A
USGS,02089500,1931-02-16,1300,A
USGS,02089500,1931-02-17,1300,A
USGS,02089500,1931-02-18,1700,A
USGS,02089500,1931-02-19,1700,A
USGS,02089500,1931-02-20,1700,A
USGS,02089500,1931-02-21,1700,A
USGS,02089500,1931-02-22,1700,A
USGS,02089500,1931-02-23,1700,A
USGS,02089500,1931-02-24,1700,A
USGS,02089500,1931-02-25,1400,A
USGS,02089500,1931-02-26,1400,A
USGS,02089500,1931-02-27,1400,A
USGS,02089500,1931-02-28,1200,A
USGS,02089500,1931-03-01,1300,A
USGS,02089500,1931-03-02,1300,A
USGS,02089500,1931-03-03,1300,A
USGS,02089500,1931-03-04,1300,A
USGS,02089500,1931-03-05,1500,A
USGS,02089500,1931-03-06,1500,A
USGS,02089500,1931-03-07,1500,A
USGS,02089500,1931-03-08,1390,A
USGS,02089500,1931-03-09,1390,A
USGS,02089500,1931-03-10,1260,A
USGS,02089500,1931-03-11,1260,A
USGS,02089500,1931-03-12,1340,A
USGS,02089500,1931-03-13,1440,A
USGS,02089500,1931-03-14,1390,A
USGS,02089500,1931-03-15,1260,A
USGS,02089500,1931-03-16,1140,A
USGS,02089500,1931-03-17,1060,A
USGS,02089500,1931-03-18,1020,A
USGS,02089500,1931-03-19,1020,A
USGS,02089500,1931-03-20,977,A
USGS,02089500,1931-03-21,1020,A
USGS,02089500,1931-03-22,1060,A
USGS,02089500,1931-03-23,1100,A
USGS,02089500,1931-03-24,1340,A
USGS,02089500,1931-03-25,2300,A
USGS,02089500,1931-03-26,3120,A
USGS,02089500,1931-03-27,3060,A
USGS,02089500,1931-03-28,3000,A
USGS,02089500,1931-03-29,2880,A
USGS,02089500,1931-03-30,2640,A
USGS,02089500,1931-03-31,2460,A
USGS,02089500,1931-04-01,2520,A
USGS,02089500,1931-04-02,3000,A
USGS,02089500,1931-04-03,3120,A
USGS,02089500,1931-04-04,2880,A
USGS,02089500,1931-04-05,3060,A
USGS,02089500,1931-04-06,3700,A
USGS,02089500,1931-04-07,4190,A
USGS,02089500,1931-04-08,4590,A
USGS,02089500,1931-04-09,5090,A
USGS,02089500,1931-04-10,5750,A
USGS,02089500,1931-04-11,6270,A
USGS,02089500,1931-04-12,6930,A
USGS,02089500,1931-04-13,7410,A
USGS,02089500,1931-04-14,7780,A
USGS,02089500,1931-04-15,7910,A
USGS,02089500,1931-04-16,7530,A
USGS,02089500,1931-04-17,6380,A
USGS,02089500,1931-04-18,3910,A
USGS,02089500,1931-04-19,2520,A
USGS,02089500,1931-04-20,2130,A
USGS,02089500,1931-04-21,2080,A
USGS,02089500,1931-04-22,2240,A
USGS,02089500,1931-04-23,2350,A
USGS,02089500,1931-04-24,2520,A
USGS,02089500,1931-04-25,2640,A
USGS,02089500,1931-04-26,2760,A
USGS,02089500,1931-04-27,2760,A
USGS,02089500,1931-04-28,2520,A
USGS,02089500,1931-04-29,2350,A
USGS,02089500,1931-04-30,2240,A
USGS,02089500,1931-05-01,2130,A
USGS,02089500,1931-05-02,1960,A
USGS,02089500,1931-05-03,1860,A
USGS,02089500,1931-05-04,1760,A
USGS,02089500,1931-05-05,1720,A
USGS,02089500,1931-05-06,1820,A
USGS,02089500,1931-05-07,1920,A
USGS,02089500,1931-05-08,1960,A
USGS,02089500,1931-05-09,2300,A
USGS,02089500,1931-05-10,3060,A
USGS,02089500,1931-05-11,4510,A
USGS,02089500,1931-05-12,4670,A
USGS,02089500,1931-05-13,5180,A
USGS,02089500,1931-05-14,5750,A
USGS,02089500,1931-05-15,6050,A
USGS,02089500,1931-05-16,5650,A
USGS,02089500,1931-05-17,4430,A
USGS,02089500,1931-05-18,2640,A
USGS,02089500,1931-05-19,2180,A
USGS,02089500,1931-05-20,1920,A
USGS,02089500,1931-05-21,1720,A
USGS,02089500,1931-05-22,1660,A
USGS,02089500,1931-05-23,1960,A
USGS,02089500,1931-05-24,2880,A
USGS,02089500,1931-05-25,3980,A
USGS,02089500,1931-05-26,4590,A
USGS,02089500,1931-05-27,4510,A
USGS,02089500,1931-05-28,5450,A
USGS,02089500,1931-05-29,6160,A
USGS,02089500,1931-05-30,6270,A
USGS,02089500,1931-05-31,5750,A
USGS,02089500,1931-06-01,3640,A
USGS,02089500,1931-06-02,1960,A
USGS,02089500,1931-06-03,1520,A
USGS,02089500,1931-06-04,1340,A
USGS,02089500,1931-06-05,1260,A
USGS,02089500,1931-06-06,1260,A
USGS,02089500,1931-06-07,1180,A
USGS,02089500,1931-06-08,1100,A
USGS,02089500,1931-06-09,1100,A
USGS,02089500,1931-06-10,1060,A
USGS,02089500,1931-06-11,977,A
USGS,02089500,1931-06-12,940,A
USGS,02089500,1931-06-13,868,A
USGS,02089500,1931-06-14,833,A
USGS,02089500,1931-06-15,765,A
USGS,02089500,1931-06-16,868,A
USGS,02089500,1931-06-17,1100,A
USGS,02089500,1931-06-18,1500,A
USGS,02089500,1931-06-19,2000,A
USGS,02089500,1931-06-20,2200,A
USGS,02089500,1931-06-21,2100,A
USGS,02089500,1931-06-22,1800,A
USGS,02089500,1931-06-23,1500,A
USGS,02089500,1931-06-24,1000,A
USGS,02089500,1931-06-25,800,A
USGS,02089500,1931-06-26,700,A
USGS,02089500,1931-06-27,868,A
USGS,02089500,1931-06-28,904,A
USGS,02089500,1931-06-29,700,A
USGS,02089500,1931-06-30,606,A
USGS,02089500,1931-07-01,576,A
USGS,02089500,1931-07-02,546,A
USGS,02089500,1931-07-03,488,A
USGS,02089500,1931-07-04,488,A
USGS,02089500,1931-07-05,1400,A
USGS,02089500,1931-07-06,1400,A
USGS,02089500,1931-07-07,1400,A
USGS,02089500,1931-07-08,1400,A
USGS,02089500,1931-07-09,2700,A
USGS,02089500,1931-07-10,2700,A
USGS,02089500,1931-07-11,2700,A
USGS,02089500,1931-07-12,2700,A
USGS,02089500,1931-07-13,2700,A
USGS,02089500,1931-07-14,2700,A
USGS,02089500,1931-07-15,2700,A
USGS,02089500,1931-07-16,2100,A
USGS,02089500,1931-07-17,2100,A
USGS,02089500,1931-07-18,2100,A
USGS,02089500,1931-07-19,2100,A
USGS,02089500,1931-07-20,2100,A
USGS,02089500,1931-07-21,2100,A
USGS,02089500,1931-07-22,2100,A
USGS,02089500,1931-07-23,3000,A
USGS,02089500,1931-07-24,3000,A
USGS,02089500,1931-07-25,3000,A
USGS,02089500,1931-07-26,3000,A
USGS,02089500,1931-07-27,3000,A
USGS,02089500,1931-07-28,3000,A
USGS,02089500,1931-07-29,3000,A
USGS,02089500,1931-07-30,3200,A
USGS,02089500,1931-07-31,3200,A
USGS,02089500,1931-08-01,2700,A
USGS,02089500,1931-08-02,2700,A
USGS,02089500,1931-08-03,2700,A
USGS,02089500,1931-08-04,2700,A
